step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
0,train,4.19688606262207,66.47899696230476,0.019775390625,,,,4.1975226402282715,0.006365776062011719,0.1,0.5,0.4968467056751251,0.49432373046875,3.95458984375,0.49432373046875,0.50567626953125,0.6796343326568604,0.01,2.1057255268096924,0.057330820709466934,2.104944944381714,4096,0.27277733385562897,15015.910384137203,,0.5087890625,0.43798828125,0.524169921875,0.487060546875,0.513671875,0.502685546875,0.464599609375,0.515625,0.5084277391433716,0.44316962361335754,0.524757981300354,0.4880068302154541,0.5233958959579468,0.5041553378105164,0.46627435088157654,0.5165858864784241
20,train,3.251976490020752,25.84136467502279,0.222900390625,,,,3.2545671463012695,0.02590698003768921,0.1,0.5,0.5545302033424377,0.554962158203125,4.439697265625,0.554962158203125,0.445037841796875,0.6759991645812988,0.01,1.656153678894043,0.20344394445419312,1.6436104774475098,86016,0.1196094173938036,34244.79517791042,,0.570068359375,0.546142578125,0.57763671875,0.56201171875,0.56103515625,0.53662109375,0.553466796875,0.53271484375,0.5720739364624023,0.546897292137146,0.5714504718780518,0.5671371221542358,0.5649048089981079,0.5279251337051392,0.5473259091377258,0.5385270714759827
40,train,2.90848970413208,18.329095295328212,0.2421875,,,,2.914486885070801,0.059971392154693604,0.1,0.5,0.5747501850128174,0.576873779296875,4.614990234375,0.576873779296875,0.423126220703125,0.6617696285247803,0.01,1.5822811126708984,0.170308917760849,1.5730887651443481,167936,0.11930979182943702,34330.79495986015,,0.66162109375,0.5771484375,0.5947265625,0.595458984375,0.567626953125,0.558837890625,0.531005859375,0.528564453125,0.650823712348938,0.5736225843429565,0.5905336141586304,0.5870789289474487,0.5712541937828064,0.5573878288269043,0.5331311225891113,0.5341694355010986
60,train,2.7577595710754395,15.764484147346108,0.244384765625,,,,2.7652058601379395,0.07446402311325073,0.1,0.5,0.5822907090187073,0.580535888671875,4.644287109375,0.580535888671875,0.419464111328125,0.6486303210258484,0.01,1.747252106666565,0.11516616493463516,1.743452548980713,249856,0.12076229229569435,33917.872227621156,,0.7080078125,0.578125,0.59375,0.566162109375,0.521728515625,0.550537109375,0.5849609375,0.541015625,0.7121469974517822,0.5762566328048706,0.5905798673629761,0.5767925977706909,0.5205322504043579,0.55084627866745,0.5806884765625,0.5504820942878723
80,train,2.598451614379883,13.44290710795106,0.2548828125,,,,2.606685161590576,0.08233577013015747,0.1,0.5,0.5745779275894165,0.577239990234375,4.617919921875,0.577239990234375,0.422760009765625,0.6376656889915466,0.01,1.4753872156143188,0.10486707836389542,1.4716556072235107,331776,0.11985858296975493,34173.60608237445,,0.73876953125,0.561279296875,0.579345703125,0.58544921875,0.510009765625,0.521240234375,0.561279296875,0.560546875,0.7429155111312866,0.562519371509552,0.5763310194015503,0.5657004117965698,0.5166829824447632,0.5299465656280518,0.5559437274932861,0.5465834736824036
100,train,2.586190700531006,13.279091101194966,0.26318359375,,,,2.5931572914123535,0.06966650485992432,0.1,0.5,0.5558342933654785,0.5557861328125,4.4462890625,0.5557861328125,0.4442138671875,0.6242630481719971,0.01,1.7775635719299316,0.08262678980827332,1.7756421566009521,413696,0.12044074991717935,34008.42325223481,,0.7490234375,0.538818359375,0.5380859375,0.539306640625,0.54931640625,0.5263671875,0.50048828125,0.5048828125,0.7492086291313171,0.5468401908874512,0.5324697494506836,0.5426719188690186,0.5465667843818665,0.5189515352249146,0.493508517742157,0.5164569616317749
120,train,2.5964980125427246,13.41667065606294,0.257568359375,,,,2.6034433841705322,0.06945276260375977,0.1,0.5,0.551108717918396,0.55670166015625,4.45361328125,0.55670166015625,0.44329833984375,0.6082505583763123,0.01,1.733583688735962,0.07685954868793488,1.7318789958953857,495616,0.11492662504315376,35640.13124427864,,0.742919921875,0.56005859375,0.55810546875,0.544921875,0.510986328125,0.528076171875,0.488525390625,0.52001953125,0.749488115310669,0.5513757467269897,0.5408949851989746,0.5356547832489014,0.5086943507194519,0.5048587918281555,0.49709761142730713,0.5208051204681396
140,train,2.529815673828125,12.551192410185173,0.265625,,,,2.5366880893707275,0.06872528791427612,0.1,0.5,0.5599637031555176,0.562408447265625,4.499267578125,0.562408447265625,0.437591552734375,0.5863891839981079,0.01,2.0815024375915527,0.0993221178650856,2.0791313648223877,577536,0.12092624977231026,33871.88478690343,,0.73828125,0.568603515625,0.55322265625,0.537109375,0.5078125,0.533447265625,0.529052734375,0.53173828125,0.7427868843078613,0.565059244632721,0.5510886907577515,0.5360310673713684,0.5082665085792542,0.5262017846107483,0.5309473276138306,0.5193279981613159
160,train,2.570718288421631,13.075212842736047,0.263671875,,,,2.576416254043579,0.05697906017303467,0.1,0.5,0.5395157337188721,0.54071044921875,4.32568359375,0.54071044921875,0.45928955078125,0.5685197710990906,0.01,2.151407241821289,0.09609582275152206,2.1492600440979004,659456,0.11627129185944796,35227.956398311646,,0.730224609375,0.535888671875,0.52490234375,0.542236328125,0.51220703125,0.494873046875,0.493408203125,0.491943359375,0.7313653230667114,0.5252672433853149,0.5171847939491272,0.5359168648719788,0.5186564326286316,0.48949265480041504,0.48961225152015686,0.5086305141448975
180,train,2.5598487854003906,12.933861378993894,0.2587890625,,,,2.5652124881744385,0.05363732576370239,0.1,0.5,0.5448334217071533,0.545196533203125,4.361572265625,0.545196533203125,0.454803466796875,0.5514544248580933,0.01,1.740377426147461,0.109962597489357,1.736899971961975,741376,0.11737862508744001,34895.620876021734,,0.721435546875,0.550048828125,0.534912109375,0.512451171875,0.520263671875,0.51611328125,0.50732421875,0.4990234375,0.7212616205215454,0.5470266938209534,0.5327585935592651,0.5113170146942139,0.5250883102416992,0.5169439911842346,0.5048996210098267,0.4993712902069092
